2026-04-10 15:01:59,686 Loading all complete chemicals from DB...
2026-04-10 15:02:03,707 Found 48,963 chemicals to process
2026-04-10 15:02:06,864 [   500/48,963] text=   3,646,535 braille=   7,159,966 errors=0 158.4/s
2026-04-10 15:04:08,121 [29,000/48,963] text=  83,066,028 braille= 161,649,705 errors=0 233.1/s
2026-04-10 15:04:09,627 [29,500/48,963] text=  83,623,732 braille= 162,683,214 errors=0 234.3/s
2026-04-10 15:04:11,182 [30,000/48,963] text=  84,328,633 braille= 163,996,782 errors=0 235.3/s
2026-04-10 15:04:13,041 [30,500/48,963] text=  85,567,126 braille= 166,398,870 errors=0 235.8/s
2026-04-10 15:04:14,742 [31,000/48,963] text=  86,594,492 braille= 168,398,071 errors=0 236.6/s
2026-04-10 15:04:16,477 [31,500/48,963] text=  87,461,021 braille= 169,992,417 errors=0 237.3/s
2026-04-10 15:04:17,980 [32,000/48,963] text=  88,016,641 braille= 170,960,921 errors=0 238.3/s
2026-04-10 15:04:19,732 [32,500/48,963] text=  88,990,361 braille= 172,787,437 errors=0 238.9/s
2026-04-10 15:04:21,714 [33,000/48,963] text=  90,387,076 braille= 175,460,428 errors=0 239.1/s
2026-04-10 15:04:23,440 [33,500/48,963] text=  91,259,133 braille= 177,114,710 errors=0 239.7/s
2026-04-10 15:04:25,342 [34,000/48,963] text=  92,399,752 braille= 179,324,256 errors=0 240.1/s
2026-04-10 15:04:26,812 [34,500/48,963] text=  92,975,969 braille= 180,408,480 errors=0 241.1/s
2026-04-10 15:04:28,482 [35,000/48,963] text=  93,967,337 braille= 182,328,286 errors=0 241.8/s
2026-04-10 15:04:30,389 [35,500/48,963] text=  95,289,922 braille= 184,870,007 errors=0 242.0/s
2026-04-10 15:04:32,409 [36,000/48,963] text=  96,801,074 braille= 187,803,248 errors=0 242.1/s
2026-04-10 15:04:34,094 [36,500/48,963] text=  97,798,890 braille= 189,700,913 errors=0 242.7/s
2026-04-10 15:04:35,994 [37,000/48,963] text=  99,106,773 braille= 192,264,810 errors=0 243.0/s
2026-04-10 15:04:37,723 [37,500/48,963] text= 100,085,070 braille= 194,170,912 errors=0 243.5/s
2026-04-10 15:04:39,319 [38,000/48,963] text= 100,776,333 braille= 195,519,467 errors=0 244.2/s
2026-04-10 15:04:41,073 [38,500/48,963] text= 101,636,390 braille= 197,203,402 errors=0 244.7/s
2026-04-10 15:04:42,962 [39,000/48,963] text= 102,645,161 braille= 199,163,807 errors=0 244.9/s
2026-04-10 15:04:44,695 [39,500/48,963] text= 103,463,906 braille= 200,735,024 errors=0 245.4/s
2026-04-10 15:04:46,365 [40,000/48,963] text= 104,320,582 braille= 202,390,743 errors=0 245.9/s
2026-04-10 15:04:47,902 [40,500/48,963] text= 104,942,234 braille= 203,587,627 errors=0 246.7/s
2026-04-10 15:04:49,538 [41,000/48,963] text= 105,802,412 braille= 205,271,547 errors=0 247.2/s
2026-04-10 15:04:50,983 [41,500/48,963] text= 106,387,286 braille= 206,385,782 errors=0 248.1/s
2026-04-10 15:04:52,612 [42,000/48,963] text= 107,170,704 braille= 207,902,084 errors=0 248.7/s
2026-04-10 15:04:54,278 [42,500/48,963] text= 108,054,329 braille= 209,633,374 errors=0 249.2/s
2026-04-10 15:04:56,159 [43,000/48,963] text= 109,191,661 braille= 211,854,265 errors=0 249.3/s
2026-04-10 15:04:57,859 [43,500/48,963] text= 110,111,349 braille= 213,643,979 errors=0 249.8/s
2026-04-10 15:04:59,528 [44,000/48,963] text= 110,960,420 braille= 215,324,335 errors=0 250.3/s
2026-04-10 15:05:01,230 [44,500/48,963] text= 111,898,211 braille= 217,159,008 errors=0 250.7/s
2026-04-10 15:05:03,110 [45,000/48,963] text= 113,063,293 braille= 219,478,464 errors=0 250.8/s
2026-04-10 15:05:04,588 [45,500/48,963] text= 113,635,583 braille= 220,690,491 errors=0 251.5/s
2026-04-10 15:05:06,528 [46,000/48,963] text= 114,924,337 braille= 223,190,546 errors=0 251.6/s
2026-04-10 15:05:07,946 [46,500/48,963] text= 115,475,686 braille= 224,365,217 errors=0 252.4/s
2026-04-10 15:05:10,082 [47,000/48,963] text= 117,232,145 braille= 227,903,449 errors=0 252.2/s
2026-04-10 15:05:12,678 [47,500/48,963] text= 119,876,160 braille= 233,155,786 errors=0 251.4/s
2026-04-10 15:05:15,347 [48,000/48,963] text= 122,532,054 braille= 238,350,340 errors=0 250.5/s
2026-04-10 15:05:17,727 [48,500/48,963] text= 124,858,390 braille= 242,945,999 errors=0 250.0/s
2026-04-10 15:05:19,972 [48,963/48,963] text= 127,109,134 braille= 247,427,850 errors=0 249.5/s
2026-04-10 15:05:19,973 ============================================================
2026-04-10 15:05:19,973   Processed: 48,963 / 48,963 chemicals
2026-04-10 15:05:19,973   Errors: 0
2026-04-10 15:05:19,973   Total KR text: 127,109,134 chars
2026-04-10 15:05:19,973   Total KR braille: 247,427,850 chars
2026-04-10 15:05:19,973   Avg braille/text ratio: 1.947
2026-04-10 15:05:19,973   Time: 3.3 min (249.5/s)
2026-04-10 15:05:19,973   Saved: C:\Users\USER\Desktop\Braille\results\msds\bulk_stats.csv
2026-04-10 15:05:19,973   Summary: C:\Users\USER\Desktop\Braille\results\msds\bulk_summary.json
