code,ko_text,ko_braille,braille_chars,frequency
H261,물과 접촉 시 인화성 가스를 발생시킴,⠴⠠⠓⠼⠃⠋⠁⠀⠐⠂⠀⠑⠍⠂⠈⠧⠀⠨⠎⠃⠰⠥⠁⠀⠠⠕⠀⠛⠕⠒⠚⠧⠠⠎⠶⠀⠈⠣⠠⠪⠐⠪⠂⠀⠘⠣⠂⠠⠗⠶⠠⠕⠋⠕⠢,55,26
H270,화재를 일으키거나 강렬하게 함:산화제,⠴⠠⠓⠼⠃⠛⠚⠀⠐⠂⠀⠚⠧⠨⠗⠐⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠈⠎⠉⠣⠀⠈⠣⠶⠐⠱⠂⠚⠣⠈⠝⠀⠚⠣⠢⠐⠂⠠⠣⠒⠚⠧⠨⠝,54,15
H271,화재 또는 폭발을 일으킬 수 있음:강산화제,⠴⠠⠓⠼⠃⠛⠁⠀⠐⠂⠀⠚⠧⠨⠗⠀⠠⠊⠥⠉⠪⠒⠀⠙⠥⠁⠘⠣⠂⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠂⠀⠠⠍⠀⠛⠕⠌⠛⠪⠢⠐⠂⠈⠣⠶⠠⠣⠒⠚⠧⠨⠝,63,28
H272,화재를 강렬하게 함:산화제,⠴⠠⠓⠼⠃⠛⠃⠀⠐⠂⠀⠚⠧⠨⠗⠐⠪⠂⠀⠈⠣⠶⠐⠱⠂⠚⠣⠈⠝⠀⠚⠣⠢⠐⠂⠠⠣⠒⠚⠧⠨⠝,42,155
H280,고압가스:가열하면 폭발할 수 있음,⠴⠠⠓⠼⠃⠓⠚⠀⠐⠂⠀⠈⠥⠛⠣⠃⠈⠣⠠⠪⠐⠂⠈⠣⠛⠱⠂⠚⠣⠑⠱⠒⠀⠙⠥⠁⠘⠣⠂⠚⠣⠂⠀⠠⠍⠀⠛⠕⠌⠛⠪⠢,52,217
H290,금속을 부식시킬 수 있음,⠴⠠⠓⠼⠃⠊⠚⠀⠐⠂⠀⠈⠪⠢⠠⠥⠁⠛⠪⠂⠀⠘⠍⠠⠕⠁⠠⠕⠋⠕⠂⠀⠠⠍⠀⠛⠕⠌⠛⠪⠢,41,300
H300,삼키면 치명적임,⠴⠠⠓⠼⠉⠚⠚⠀⠐⠂⠀⠠⠣⠢⠋⠕⠑⠱⠒⠀⠰⠕⠑⠱⠶⠨⠎⠁⠛⠕⠢,31,420
H301,삼키면 유독함,⠴⠠⠓⠼⠉⠚⠁⠀⠐⠂⠀⠠⠣⠢⠋⠕⠑⠱⠒⠀⠛⠩⠊⠥⠁⠚⠣⠢,28,1154
H302,삼키면 유해함,⠴⠠⠓⠼⠉⠚⠃⠀⠐⠂⠀⠠⠣⠢⠋⠕⠑⠱⠒⠀⠛⠩⠚⠗⠚⠣⠢,27,2278
H304,삼켜서 기도로 유입되면 치명적일 수 있음,⠴⠠⠓⠼⠉⠚⠙⠀⠐⠂⠀⠠⠣⠢⠋⠱⠠⠎⠀⠈⠕⠊⠥⠐⠥⠀⠛⠩⠛⠕⠃⠊⠽⠑⠱⠒⠀⠰⠕⠑⠱⠶⠨⠎⠁⠛⠕⠂⠀⠠⠍⠀⠛⠕⠌⠛⠪⠢,58,204
H305,삼켜서 기도로 유입되면 유해할 수 있음,⠴⠠⠓⠼⠉⠚⠑⠀⠐⠂⠀⠠⠣⠢⠋⠱⠠⠎⠀⠈⠕⠊⠥⠐⠥⠀⠛⠩⠛⠕⠃⠊⠽⠑⠱⠒⠀⠛⠩⠚⠗⠚⠣⠂⠀⠠⠍⠀⠛⠕⠌⠛⠪⠢,54,62
H310,피부와 접촉하면 치명적임,⠴⠠⠓⠼⠉⠁⠚⠀⠐⠂⠀⠙⠕⠘⠍⠛⠧⠀⠨⠎⠃⠰⠥⠁⠚⠣⠑⠱⠒⠀⠰⠕⠑⠱⠶⠨⠎⠁⠛⠕⠢,41,314
H311,피부와 접촉하면 유독함,⠴⠠⠓⠼⠉⠁⠁⠀⠐⠂⠀⠙⠕⠘⠍⠛⠧⠀⠨⠎⠃⠰⠥⠁⠚⠣⠑⠱⠒⠀⠛⠩⠊⠥⠁⠚⠣⠢,38,510
H312,피부와 접촉하면 유해함,⠴⠠⠓⠼⠉⠁⠃⠀⠐⠂⠀⠙⠕⠘⠍⠛⠧⠀⠨⠎⠃⠰⠥⠁⠚⠣⠑⠱⠒⠀⠛⠩⠚⠗⠚⠣⠢,37,405
H314,피부에 심한 화상과 눈에 손상을 일으킴,⠴⠠⠓⠼⠉⠁⠙⠀⠐⠂⠀⠙⠕⠘⠍⠛⠝⠀⠠⠕⠢⠚⠣⠒⠀⠚⠧⠠⠣⠶⠈⠧⠀⠉⠍⠒⠛⠝⠀⠠⠥⠒⠠⠣⠶⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠢,57,888
