code,ko_text,ko_braille,braille_chars,frequency
H341,"유전적인 결함을 일으킬 것으로 의심됨(유전적인 결함을 일으키는 노출 경로를 기재한다. 단, 다른 노출경로에 의해 유전적인 결함을 일으키지 않는다는 결정적인 증거가 있는 경우에 한한다.)",⠴⠠⠓⠼⠉⠙⠁⠀⠐⠂⠀⠛⠩⠨⠎⠒⠨⠎⠁⠛⠕⠒⠀⠈⠱⠂⠚⠣⠢⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠂⠀⠈⠎⠄⠛⠪⠐⠥⠀⠛⠺⠠⠕⠢⠊⠽⠢⠤⠛⠩⠨⠎⠒⠨⠎⠁⠛⠕⠒⠀⠈⠱⠂⠚⠣⠢⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠉⠪⠒⠀⠉⠥⠰⠍⠂⠀⠈⠱⠶⠐⠥⠐⠪⠂⠀⠈⠕⠨⠗⠚⠣⠒⠊⠣⠲⠀⠊⠣⠒⠐⠀⠊⠣⠐⠪⠒⠀⠉⠥⠰⠍⠂⠈⠱⠶⠐⠥⠛⠝⠀⠛⠺⠚⠗⠀⠛⠩⠨⠎⠒⠨⠎⠁⠛⠕⠒⠀⠈⠱⠂⠚⠣⠢⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠨⠕⠀⠛⠣⠒⠴⠉⠪⠒⠊⠣⠉⠪⠒⠀⠈⠱⠂⠨⠎⠶⠨⠎⠁⠛⠕⠒⠀⠨⠪⠶⠈⠎⠈⠣⠀⠛⠕⠌⠉⠪⠒⠀⠈⠱⠶⠛⠍⠛⠝⠀⠚⠣⠒⠚⠣⠒⠊⠣⠲⠤,238,518
H350,"암을 일으킬 수 있음(암을 일으키는 노출 경로를 기재한다. 단, 다른 노출경로에 의해 암을 일으키지 않는다는 결정적인 증거가 있는 경우에 한한다.)",⠴⠠⠓⠼⠉⠑⠚⠀⠐⠂⠀⠛⠣⠢⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠂⠀⠠⠍⠀⠛⠕⠌⠛⠪⠢⠤⠛⠣⠢⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠉⠪⠒⠀⠉⠥⠰⠍⠂⠀⠈⠱⠶⠐⠥⠐⠪⠂⠀⠈⠕⠨⠗⠚⠣⠒⠊⠣⠲⠀⠊⠣⠒⠐⠀⠊⠣⠐⠪⠒⠀⠉⠥⠰⠍⠂⠈⠱⠶⠐⠥⠛⠝⠀⠛⠺⠚⠗⠀⠛⠣⠢⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠨⠕⠀⠛⠣⠒⠴⠉⠪⠒⠊⠣⠉⠪⠒⠀⠈⠱⠂⠨⠎⠶⠨⠎⠁⠛⠕⠒⠀⠨⠪⠶⠈⠎⠈⠣⠀⠛⠕⠌⠉⠪⠒⠀⠈⠱⠶⠛⠍⠛⠝⠀⠚⠣⠒⠚⠣⠒⠊⠣⠲⠤,186,1556
H351,"암을 일으킬 것으로 의심됨(암을 일으키는 노출 경로를 기재한다. 단, 다른 노출경로에 의해 암을 일으키지 않는다는 결정적인 증거가 있는 경우에 한한다.)",⠴⠠⠓⠼⠉⠑⠁⠀⠐⠂⠀⠛⠣⠢⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠂⠀⠈⠎⠄⠛⠪⠐⠥⠀⠛⠺⠠⠕⠢⠊⠽⠢⠤⠛⠣⠢⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠉⠪⠒⠀⠉⠥⠰⠍⠂⠀⠈⠱⠶⠐⠥⠐⠪⠂⠀⠈⠕⠨⠗⠚⠣⠒⠊⠣⠲⠀⠊⠣⠒⠐⠀⠊⠣⠐⠪⠒⠀⠉⠥⠰⠍⠂⠈⠱⠶⠐⠥⠛⠝⠀⠛⠺⠚⠗⠀⠛⠣⠢⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠨⠕⠀⠛⠣⠒⠴⠉⠪⠒⠊⠣⠉⠪⠒⠀⠈⠱⠂⠨⠎⠶⠨⠎⠁⠛⠕⠒⠀⠨⠪⠶⠈⠎⠈⠣⠀⠛⠕⠌⠉⠪⠒⠀⠈⠱⠶⠛⠍⠛⠝⠀⠚⠣⠒⠚⠣⠒⠊⠣⠲⠤,193,518
H360,"태아 또는 생식능력에 손상을 일으킬 수 있음(알려진 특정한 영향을 명시한다.)(생식독성을 일으키는 노출 경로를 기재한다. 단, 다른 노출경로에 의해 생식독성을 일으키지 않는다는 결정적인 증거가 있는 경우에 한한다.)",⠴⠠⠓⠼⠉⠋⠚⠀⠐⠂⠀⠓⠗⠛⠣⠀⠠⠊⠥⠉⠪⠒⠀⠠⠗⠶⠠⠕⠁⠉⠪⠶⠐⠱⠁⠛⠝⠀⠠⠥⠒⠠⠣⠶⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠂⠀⠠⠍⠀⠛⠕⠌⠛⠪⠢⠤⠛⠣⠂⠐⠱⠨⠕⠒⠀⠓⠪⠁⠨⠎⠶⠚⠣⠒⠀⠛⠱⠶⠚⠜⠶⠛⠪⠂⠀⠑⠱⠶⠠⠕⠚⠣⠒⠊⠣⠲⠤⠤⠠⠗⠶⠠⠕⠁⠊⠥⠁⠠⠎⠶⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠉⠪⠒⠀⠉⠥⠰⠍⠂⠀⠈⠱⠶⠐⠥⠐⠪⠂⠀⠈⠕⠨⠗⠚⠣⠒⠊⠣⠲⠀⠊⠣⠒⠐⠀⠊⠣⠐⠪⠒⠀⠉⠥⠰⠍⠂⠈⠱⠶⠐⠥⠛⠝⠀⠛⠺⠚⠗⠀⠠⠗⠶⠠⠕⠁⠊⠥⠁⠠⠎⠶⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠨⠕⠀⠛⠣⠒⠴⠉⠪⠒⠊⠣⠉⠪⠒⠀⠈⠱⠂⠨⠎⠶⠨⠎⠁⠛⠕⠒⠀⠨⠪⠶⠈⠎⠈⠣⠀⠛⠕⠌⠉⠪⠒⠀⠈⠱⠶⠛⠍⠛⠝⠀⠚⠣⠒⠚⠣⠒⠊⠣⠲⠤,276,515
H361,"태아 또는 생식능력에 손상을 일으킬 것으로 의심됨(알려진 특정한 영향을 명시한다.)(생식독성을 일으키는 노출 경로를 기재한다. 단, 다른 노출경로에 의해 생식독성을 일으키지 않는다는 결정적인 증거가 있는 경우에 한한다.)",⠴⠠⠓⠼⠉⠋⠁⠀⠐⠂⠀⠓⠗⠛⠣⠀⠠⠊⠥⠉⠪⠒⠀⠠⠗⠶⠠⠕⠁⠉⠪⠶⠐⠱⠁⠛⠝⠀⠠⠥⠒⠠⠣⠶⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠂⠀⠈⠎⠄⠛⠪⠐⠥⠀⠛⠺⠠⠕⠢⠊⠽⠢⠤⠛⠣⠂⠐⠱⠨⠕⠒⠀⠓⠪⠁⠨⠎⠶⠚⠣⠒⠀⠛⠱⠶⠚⠜⠶⠛⠪⠂⠀⠑⠱⠶⠠⠕⠚⠣⠒⠊⠣⠲⠤⠤⠠⠗⠶⠠⠕⠁⠊⠥⠁⠠⠎⠶⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠉⠪⠒⠀⠉⠥⠰⠍⠂⠀⠈⠱⠶⠐⠥⠐⠪⠂⠀⠈⠕⠨⠗⠚⠣⠒⠊⠣⠲⠀⠊⠣⠒⠐⠀⠊⠣⠐⠪⠒⠀⠉⠥⠰⠍⠂⠈⠱⠶⠐⠥⠛⠝⠀⠛⠺⠚⠗⠀⠠⠗⠶⠠⠕⠁⠊⠥⠁⠠⠎⠶⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠨⠕⠀⠛⠣⠒⠴⠉⠪⠒⠊⠣⠉⠪⠒⠀⠈⠱⠂⠨⠎⠶⠨⠎⠁⠛⠕⠒⠀⠨⠪⠶⠈⠎⠈⠣⠀⠛⠕⠌⠉⠪⠒⠀⠈⠱⠶⠛⠍⠛⠝⠀⠚⠣⠒⠚⠣⠒⠊⠣⠲⠤,283,553
H362,모유를 먹는 아이에게 유해할 수 있음,⠴⠠⠓⠼⠉⠋⠃⠀⠐⠂⠀⠑⠥⠛⠩⠐⠪⠂⠀⠑⠎⠁⠉⠪⠒⠀⠛⠣⠛⠕⠛⠝⠈⠝⠀⠛⠩⠚⠗⠚⠣⠂⠀⠠⠍⠀⠛⠕⠌⠛⠪⠢,52,72
H370,"장기(영향을 받는 것으로 알려진 모든 장기를 명시한다.)에 손상을 일으킴(특정표적장기독성(1회노출)을 일으키는 노출 경로를 기재. 단, 다른 노출경로에 의해 특정표적장기독성(1회노출)을 일으키지 않는다는 결정적인 증거가 있는 경우에 한한다.)",⠴⠠⠓⠼⠉⠛⠚⠀⠐⠂⠀⠨⠣⠶⠈⠕⠤⠛⠱⠶⠚⠜⠶⠛⠪⠂⠀⠘⠣⠔⠉⠪⠒⠀⠈⠎⠄⠛⠪⠐⠥⠀⠛⠣⠂⠐⠱⠨⠕⠒⠀⠑⠥⠊⠪⠒⠀⠨⠣⠶⠈⠕⠐⠪⠂⠀⠑⠱⠶⠠⠕⠚⠣⠒⠊⠣⠲⠤⠛⠝⠀⠠⠥⠒⠠⠣⠶⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠢⠤⠓⠪⠁⠨⠎⠶⠙⠬⠨⠎⠁⠨⠣⠶⠈⠕⠊⠥⠁⠠⠎⠶⠤⠼⠁⠚⠽⠉⠥⠰⠍⠂⠤⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠉⠪⠒⠀⠉⠥⠰⠍⠂⠀⠈⠱⠶⠐⠥⠐⠪⠂⠀⠈⠕⠨⠗⠲⠀⠊⠣⠒⠐⠀⠊⠣⠐⠪⠒⠀⠉⠥⠰⠍⠂⠈⠱⠶⠐⠥⠛⠝⠀⠛⠺⠚⠗⠀⠓⠪⠁⠨⠎⠶⠙⠬⠨⠎⠁⠨⠣⠶⠈⠕⠊⠥⠁⠠⠎⠶⠤⠼⠁⠚⠽⠉⠥⠰⠍⠂⠤⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠨⠕⠀⠛⠣⠒⠴⠉⠪⠒⠊⠣⠉⠪⠒⠀⠈⠱⠂⠨⠎⠶⠨⠎⠁⠛⠕⠒⠀⠨⠪⠶⠈⠎⠈⠣⠀⠛⠕⠌⠉⠪⠒⠀⠈⠱⠶⠛⠍⠛⠝⠀⠚⠣⠒⠚⠣⠒⠊⠣⠲⠤,304,232
H371,"장기(영향을 받는 것으로 알려진 모든 장기를 명시한다.)에 손상을 일으킬 수 있음(특정표적장기독성(1회노출)을 일으키는 노출 경로를 기재. 단, 다른 노출경로에 의해 특정표적장기독성(1회노출)을 일으키지 않는다는 결정적인 증거가 있는 경우에 한한다.)",⠴⠠⠓⠼⠉⠛⠁⠀⠐⠂⠀⠨⠣⠶⠈⠕⠤⠛⠱⠶⠚⠜⠶⠛⠪⠂⠀⠘⠣⠔⠉⠪⠒⠀⠈⠎⠄⠛⠪⠐⠥⠀⠛⠣⠂⠐⠱⠨⠕⠒⠀⠑⠥⠊⠪⠒⠀⠨⠣⠶⠈⠕⠐⠪⠂⠀⠑⠱⠶⠠⠕⠚⠣⠒⠊⠣⠲⠤⠛⠝⠀⠠⠥⠒⠠⠣⠶⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠂⠀⠠⠍⠀⠛⠕⠌⠛⠪⠢⠤⠓⠪⠁⠨⠎⠶⠙⠬⠨⠎⠁⠨⠣⠶⠈⠕⠊⠥⠁⠠⠎⠶⠤⠼⠁⠚⠽⠉⠥⠰⠍⠂⠤⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠉⠪⠒⠀⠉⠥⠰⠍⠂⠀⠈⠱⠶⠐⠥⠐⠪⠂⠀⠈⠕⠨⠗⠲⠀⠊⠣⠒⠐⠀⠊⠣⠐⠪⠒⠀⠉⠥⠰⠍⠂⠈⠱⠶⠐⠥⠛⠝⠀⠛⠺⠚⠗⠀⠓⠪⠁⠨⠎⠶⠙⠬⠨⠎⠁⠨⠣⠶⠈⠕⠊⠥⠁⠠⠎⠶⠤⠼⠁⠚⠽⠉⠥⠰⠍⠂⠤⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠨⠕⠀⠛⠣⠒⠴⠉⠪⠒⠊⠣⠉⠪⠒⠀⠈⠱⠂⠨⠎⠶⠨⠎⠁⠛⠕⠒⠀⠨⠪⠶⠈⠎⠈⠣⠀⠛⠕⠌⠉⠪⠒⠀⠈⠱⠶⠛⠍⠛⠝⠀⠚⠣⠒⠚⠣⠒⠊⠣⠲⠤,314,353
H372,"장기간 또는 반복노출 되면 장기(영향을 받는 것으로 알려진 모든 장기를 명시한다.)에 손상을 일으킴(특정표적장기독성(반복노출)을 일으키는 노출 경로를 기재. 단, 다른 노출경로에 의해 특정표적장기독성(반복노출)을 일으키지 않는다는 결정적인 증거가 있는 경우에 한한다.)",⠴⠠⠓⠼⠉⠛⠃⠀⠐⠂⠀⠨⠣⠶⠈⠕⠈⠣⠒⠀⠠⠊⠥⠉⠪⠒⠀⠘⠣⠒⠘⠥⠁⠉⠥⠰⠍⠂⠀⠊⠽⠑⠱⠒⠀⠨⠣⠶⠈⠕⠤⠛⠱⠶⠚⠜⠶⠛⠪⠂⠀⠘⠣⠔⠉⠪⠒⠀⠈⠎⠄⠛⠪⠐⠥⠀⠛⠣⠂⠐⠱⠨⠕⠒⠀⠑⠥⠊⠪⠒⠀⠨⠣⠶⠈⠕⠐⠪⠂⠀⠑⠱⠶⠠⠕⠚⠣⠒⠊⠣⠲⠤⠛⠝⠀⠠⠥⠒⠠⠣⠶⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠢⠤⠓⠪⠁⠨⠎⠶⠙⠬⠨⠎⠁⠨⠣⠶⠈⠕⠊⠥⠁⠠⠎⠶⠤⠘⠣⠒⠘⠥⠁⠉⠥⠰⠍⠂⠤⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠉⠪⠒⠀⠉⠥⠰⠍⠂⠀⠈⠱⠶⠐⠥⠐⠪⠂⠀⠈⠕⠨⠗⠲⠀⠊⠣⠒⠐⠀⠊⠣⠐⠪⠒⠀⠉⠥⠰⠍⠂⠈⠱⠶⠐⠥⠛⠝⠀⠛⠺⠚⠗⠀⠓⠪⠁⠨⠎⠶⠙⠬⠨⠎⠁⠨⠣⠶⠈⠕⠊⠥⠁⠠⠎⠶⠤⠘⠣⠒⠘⠥⠁⠉⠥⠰⠍⠂⠤⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠨⠕⠀⠛⠣⠒⠴⠉⠪⠒⠊⠣⠉⠪⠒⠀⠈⠱⠂⠨⠎⠶⠨⠎⠁⠛⠕⠒⠀⠨⠪⠶⠈⠎⠈⠣⠀⠛⠕⠌⠉⠪⠒⠀⠈⠱⠶⠛⠍⠛⠝⠀⠚⠣⠒⠚⠣⠒⠊⠣⠲⠤,342,630
H373,"장기간 또는 반복노출 되면 장기(영향을 받는 것으로 알려진 모든 장기를 명시한다.)에 손상을 일으킬 수 있음(특정표적장기독성(반복노출)을 일으키는 노출 경로를 기재. 단, 다른 노출경로에 의해 특정표적장기독성(반복노출)을 일으키지 않는다는 결정적인 증거가 있는 경우에 한한다.)",⠴⠠⠓⠼⠉⠛⠉⠀⠐⠂⠀⠨⠣⠶⠈⠕⠈⠣⠒⠀⠠⠊⠥⠉⠪⠒⠀⠘⠣⠒⠘⠥⠁⠉⠥⠰⠍⠂⠀⠊⠽⠑⠱⠒⠀⠨⠣⠶⠈⠕⠤⠛⠱⠶⠚⠜⠶⠛⠪⠂⠀⠘⠣⠔⠉⠪⠒⠀⠈⠎⠄⠛⠪⠐⠥⠀⠛⠣⠂⠐⠱⠨⠕⠒⠀⠑⠥⠊⠪⠒⠀⠨⠣⠶⠈⠕⠐⠪⠂⠀⠑⠱⠶⠠⠕⠚⠣⠒⠊⠣⠲⠤⠛⠝⠀⠠⠥⠒⠠⠣⠶⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠂⠀⠠⠍⠀⠛⠕⠌⠛⠪⠢⠤⠓⠪⠁⠨⠎⠶⠙⠬⠨⠎⠁⠨⠣⠶⠈⠕⠊⠥⠁⠠⠎⠶⠤⠘⠣⠒⠘⠥⠁⠉⠥⠰⠍⠂⠤⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠉⠪⠒⠀⠉⠥⠰⠍⠂⠀⠈⠱⠶⠐⠥⠐⠪⠂⠀⠈⠕⠨⠗⠲⠀⠊⠣⠒⠐⠀⠊⠣⠐⠪⠒⠀⠉⠥⠰⠍⠂⠈⠱⠶⠐⠥⠛⠝⠀⠛⠺⠚⠗⠀⠓⠪⠁⠨⠎⠶⠙⠬⠨⠎⠁⠨⠣⠶⠈⠕⠊⠥⠁⠠⠎⠶⠤⠘⠣⠒⠘⠥⠁⠉⠥⠰⠍⠂⠤⠛⠪⠂⠀⠛⠕⠂⠛⠪⠋⠕⠨⠕⠀⠛⠣⠒⠴⠉⠪⠒⠊⠣⠉⠪⠒⠀⠈⠱⠂⠨⠎⠶⠨⠎⠁⠛⠕⠒⠀⠨⠪⠶⠈⠎⠈⠣⠀⠛⠕⠌⠉⠪⠒⠀⠈⠱⠶⠛⠍⠛⠝⠀⠚⠣⠒⠚⠣⠒⠊⠣⠲⠤,352,1084
H400,수생생물에 매우 유독함,⠴⠠⠓⠼⠙⠚⠚⠀⠐⠂⠀⠠⠍⠠⠗⠶⠠⠗⠶⠑⠍⠂⠛⠝⠀⠑⠗⠛⠍⠀⠛⠩⠊⠥⠁⠚⠣⠢,38,3453
H410,장기적인 영향에 의해 수생생물에게 매우 유독함,⠴⠠⠓⠼⠙⠁⠚⠀⠐⠂⠀⠨⠣⠶⠈⠕⠨⠎⠁⠛⠕⠒⠀⠛⠱⠶⠚⠜⠶⠛⠝⠀⠛⠺⠚⠗⠀⠠⠍⠠⠗⠶⠠⠗⠶⠑⠍⠂⠛⠝⠈⠝⠀⠑⠗⠛⠍⠀⠛⠩⠊⠥⠁⠚⠣⠢,66,2724
H411,장기적인 영향에 의해 수생생물에게 유독함,⠴⠠⠓⠼⠙⠁⠁⠀⠐⠂⠀⠨⠣⠶⠈⠕⠨⠎⠁⠛⠕⠒⠀⠛⠱⠶⠚⠜⠶⠛⠝⠀⠛⠺⠚⠗⠀⠠⠍⠠⠗⠶⠠⠗⠶⠑⠍⠂⠛⠝⠈⠝⠀⠛⠩⠊⠥⠁⠚⠣⠢,61,1613
H412,장기적인 영향에 의해 수생생물에게 유해함,⠴⠠⠓⠼⠙⠁⠃⠀⠐⠂⠀⠨⠣⠶⠈⠕⠨⠎⠁⠛⠕⠒⠀⠛⠱⠶⠚⠜⠶⠛⠝⠀⠛⠺⠚⠗⠀⠠⠍⠠⠗⠶⠠⠗⠶⠑⠍⠂⠛⠝⠈⠝⠀⠛⠩⠚⠗⠚⠣⠢,60,1014
H413,장기적인 영향에 의해 수생생물에 유해의 우려가 있음,⠴⠠⠓⠼⠙⠁⠉⠀⠐⠂⠀⠨⠣⠶⠈⠕⠨⠎⠁⠛⠕⠒⠀⠛⠱⠶⠚⠜⠶⠛⠝⠀⠛⠺⠚⠗⠀⠠⠍⠠⠗⠶⠠⠗⠶⠑⠍⠂⠛⠝⠀⠛⠩⠚⠗⠛⠺⠀⠛⠍⠐⠱⠈⠣⠀⠛⠕⠌⠛⠪⠢,71,1206
H420,대기 상층부의 오존층을 파괴하여 공공의 건강 및 환경에 유해함,⠴⠠⠓⠼⠙⠃⠚⠀⠐⠂⠀⠊⠗⠈⠕⠀⠠⠣⠶⠰⠪⠶⠘⠍⠛⠺⠀⠛⠥⠨⠥⠒⠰⠪⠶⠛⠪⠂⠀⠙⠣⠈⠽⠚⠣⠛⠱⠀⠈⠥⠶⠈⠥⠶⠛⠺⠀⠈⠎⠒⠈⠣⠶⠀⠑⠕⠆⠀⠚⠧⠒⠈⠱⠶⠛⠝⠀⠛⠩⠚⠗⠚⠣⠢,84,29
