id,noise_type,sim_clean_noisy,sim_clean_corrected,delta_sim,chrf_clean_noisy,chrf_clean_corrected,delta_chrf
bf_089,braille_corruption,0.9423,0.9231,-0.0192,0.8603,0.8432,-0.0171
bf_090,braille_corruption,0.9153,0.8983,-0.0169,0.7208,0.7183,-0.0025
bf_091,braille_corruption,0.9194,0.9194,0.0,0.758,0.7599,0.002
bf_092,braille_corruption,0.9643,0.9643,0.0,0.8702,0.8702,0.0
bf_093,braille_corruption,0.9221,0.9091,-0.013,0.7917,0.7917,0.0
bf_094,braille_corruption,0.9357,0.9357,0.0,0.8143,0.8155,0.0012
bf_095,braille_corruption,0.9583,0.9583,0.0,0.8506,0.8506,0.0
bf_096,braille_corruption,0.9455,0.9455,0.0,0.8186,0.8186,0.0
bf_097,braille_corruption,0.9684,0.9474,-0.0211,0.9187,0.8602,-0.0585
bf_098,braille_corruption,0.9048,0.9048,0.0,0.7135,0.7138,0.0004
bf_099,braille_corruption,0.9811,0.9811,0.0,0.9329,0.9329,0.0
bf_100,braille_corruption,0.9167,0.9,-0.0167,0.7567,0.7494,-0.0072
bf_101,braille_corruption,0.96,0.96,0.0,0.8638,0.8638,0.0
bf_102,braille_corruption,0.9583,0.9583,0.0,0.8887,0.8887,0.0
bf_103,braille_corruption,0.9647,0.9647,0.0,0.8756,0.8756,0.0
bf_104,braille_corruption,0.9556,0.9556,0.0,0.8357,0.8357,0.0
bf_105,braille_corruption,0.9815,0.9815,0.0,0.9379,0.9379,0.0
bf_106,braille_corruption,0.9762,0.9535,-0.0227,0.9094,0.9048,-0.0046
bf_107,braille_corruption,0.8969,0.8969,0.0,0.7574,0.7574,0.0
bf_108,braille_corruption,0.9867,0.9481,-0.0386,0.9538,0.9111,-0.0427
bf_109,braille_corruption,0.9375,0.925,-0.0125,0.7966,0.7967,0.0001
bf_110,braille_corruption,0.9875,0.9875,0.0,0.9543,0.9543,0.0
bf_111,braille_corruption,0.9483,0.9483,0.0,0.8447,0.8447,0.0
bf_112,braille_corruption,0.9535,0.9767,0.0233,0.8958,0.9162,0.0204
bf_113,braille_corruption,0.9697,0.9798,0.0101,0.8939,0.9287,0.0348
bf_114,braille_corruption,0.9444,0.9444,0.0,0.8825,0.8825,0.0
bf_115,braille_corruption,0.9187,0.9268,0.0081,0.7303,0.7656,0.0353
bf_116,braille_corruption,0.9302,0.9205,-0.0098,0.8268,0.857,0.0302
bf_117,braille_corruption,0.9692,0.9692,0.0,0.8921,0.8921,0.0
bf_118,braille_corruption,0.9348,0.9348,0.0,0.8388,0.8388,0.0
bf_119,braille_corruption,0.9189,0.9189,0.0,0.7752,0.7752,0.0
bf_120,braille_corruption,0.9677,0.9677,0.0,0.8793,0.8793,0.0
bf_121,braille_corruption,0.958,0.958,0.0,0.8808,0.8808,0.0
bf_122,braille_corruption,0.8939,0.8994,0.0056,0.6897,0.709,0.0193
bf_123,braille_corruption,0.9604,0.9604,0.0,0.905,0.905,0.0
bf_124,braille_corruption,0.9626,0.9533,-0.0093,0.8682,0.8602,-0.008
bf_125,braille_corruption,0.8986,0.8986,0.0,0.7693,0.7693,0.0
bf_126,braille_corruption,0.9658,0.9589,-0.0068,0.8869,0.881,-0.0058
bf_127,braille_corruption,0.97,0.97,0.0,0.8967,0.8967,0.0
bf_128,braille_corruption,0.9139,0.9007,-0.0132,0.7398,0.7268,-0.013
bf_129,braille_corruption,0.9481,0.9481,0.0,0.8142,0.8142,0.0
bf_130,braille_corruption,0.8919,0.8933,0.0014,0.8284,0.8261,-0.0023
bf_131,braille_corruption,0.9032,0.8925,-0.0108,0.7351,0.7257,-0.0094
bf_132,braille_corruption,0.9388,0.9388,0.0,0.8237,0.8237,0.0
bf_133,braille_corruption,0.8814,0.8814,0.0,0.8121,0.8121,-0.0
bf_134,braille_corruption,0.969,0.969,0.0,0.8942,0.8942,0.0
bf_135,braille_corruption,0.9577,0.9577,0.0,0.882,0.882,0.0
bf_136,braille_corruption,0.9836,0.9836,0.0,0.9425,0.9425,0.0
bf_137,braille_corruption,0.9351,0.9221,-0.013,0.8077,0.8055,-0.0022
