corpus,class,reason,source_fragment,lost,gained
ko_decoder_realtext_v11b_300.csv,A4,종료표를 적지 않는 로마자 구간(제33~35항)의 경계,"oducts/icsc/dtasht/index.htm)
색상: 무색  ",.htm,털우
ko_decoder_realtext_v11b_300.csv,A4,종료표를 적지 않는 로마자 구간(제33~35항)의 경계,"oducts/icsc/dtasht/index.htm)
냄새: 무취  ",.htm,털우
ko_decoder_realtext_v11b_300.csv,A4,종료표를 적지 않는 로마자 구간(제33~35항)의 경계,"oducts/icsc/dtasht/index.htm)
초기 끓는점과 ",.htm,털우
ko_decoder_realtext_v11b_300.csv,A4,종료표를 적지 않는 로마자 구간(제33~35항)의 경계,"oducts/icsc/dtasht/index.htm)
n-옥탄올/물분",.htm,털우
ko_decoder_realtext_v11b_300.csv,A1,마침표와 로마자 종료표가 같은 칸 (제30항 해설),"imonene fraction, polymd. -
CAS 번호:",.,
ko_decoder_realtext_v11b_300.csv,A6,쉼표와 첫소리 ㄹ이 같은 칸 (제47항은 쉼표 뒤를 띄우게 하지만 원문이 붙여 썼다),"at 20C (용매 가용성 : 가용성:아세톤,에탄올,클로로폼,메탄",",에",레
ko_decoder_realtext_v11b_300.csv,A1,마침표와 로마자 종료표가 같은 칸 (제30항 해설),틸부틸)-2(3H)-벤조퓨라논 (CAS No. 216698-07,.,
ko_decoder_realtext_v11b_300.csv,A4,종료표를 적지 않는 로마자 구간(제33~35항)의 경계,물질명: 1-O-메틸-2-데옥시-D-리,메틸,enho⠂
