id,noise_type,sim_clean_noisy,sim_clean_corrected,delta_sim,chrf_clean_noisy,chrf_clean_corrected,delta_chrf
nc_301,mixed_noise,0.9423,0.9423,0.0,0.8456,0.8456,0.0
nc_302,missing_punctuation,0.9623,0.9811,0.0189,0.9169,0.9332,0.0163
nc_303,merged_words,0.9811,0.9811,0.0,0.9332,0.9332,0.0
nc_304,split_words,0.9636,0.9636,0.0,0.8915,0.8915,0.0
nc_305,spelling_variation,0.9811,0.9811,0.0,0.9366,0.9366,0.0
nc_306,dropped_function_words,0.9434,0.9434,0.0,0.9174,0.9174,0.0
nc_307,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_308,mixed_noise,0.8113,0.8302,0.0189,0.7401,0.7503,0.0102
nc_309,missing_punctuation,0.9872,0.9744,-0.0128,0.9556,0.911,-0.0446
nc_310,merged_words,0.9744,0.9615,-0.0128,0.911,0.8662,-0.0448
nc_311,split_words,0.9873,0.9744,-0.013,0.9638,0.9216,-0.0422
nc_312,spelling_variation,0.9872,0.9744,-0.0128,0.9756,0.9312,-0.0444
nc_313,dropped_function_words,0.8462,0.8462,0.0,0.8313,0.8313,0.0
nc_314,number_format_noise,1.0,0.9872,-0.0128,1.0,0.9556,-0.0444
nc_315,mixed_noise,0.9103,0.9103,0.0,0.7761,0.742,-0.0342
