group,rows,avg_edit,avg_chrf,fails
overall,6,1.000000,1.000000,0
sec-1,2,1.000000,1.000000,0
sec-2,2,1.000000,1.000000,0
sec-4,1,1.000000,1.000000,0
sec-7,1,1.000000,1.000000,0
