group,rows,avg_edit,avg_chrf,fails
overall,60,0.988880,0.972198,24
sec-1,6,0.984699,0.950867,4
sec-2,4,1.000000,1.000000,0
sec-3,2,0.898729,0.799127,2
sec-4,3,1.000000,1.000000,0
sec-5,2,1.000000,1.000000,0
sec-6,3,1.000000,1.000000,0
sec-7,5,0.997924,0.994181,1
sec-8,6,0.974685,0.925356,6
sec-9,4,0.995372,0.983779,4
sec-10,4,1.000000,1.000000,0
sec-11,3,0.985581,0.962047,3
sec-12,2,0.976684,0.946008,1
sec-14,9,0.998291,0.996058,1
sec-15,4,0.998815,0.995820,1
sec-16,3,0.972647,0.948100,1
