id,category,decode_sim,trans_sim,trans_chrf,braille_sim
en_001,basic,1.0,0.1154,0.0305,0.0909
en_002,basic,1.0,0.1538,0.0407,0.1562
en_003,basic,1.0,0.1429,0.0362,0.0465
en_004,basic,1.0,0.1212,0.0317,0.122
en_005,basic,1.0,0.1136,0.0386,0.1321
en_006,basic,1.0,0.1081,0.0295,0.087
en_007,number,1.0,0.1633,0.1366,0.0938
en_008,number,1.0,0.125,0.0777,0.0702
en_009,number,1.0,0.1905,0.1719,0.1852
en_010,number,1.0,0.4,0.35,0.36
en_011,number,1.0,0.1818,0.1069,0.1846
en_012,number,1.0,0.1778,0.0932,0.1455
en_013,number,1.0,0.2667,0.1388,0.2439
en_014,list,1.0,0.1594,0.0666,0.1975
en_015,list,1.0,0.1772,0.0815,0.1748
en_016,list,1.0,0.3548,0.1344,0.2208
en_017,list,1.0,0.1392,0.0479,0.1196
en_018,list,1.0,0.2154,0.1392,0.1975
en_019,quote,1.0,0.15,0.0602,0.1429
en_020,quote,1.0,0.125,0.0981,0.1538
en_021,quote,1.0,0.1702,0.0528,0.1053
en_022,quote,1.0,0.1509,0.0519,0.1406
en_023,quote,1.0,0.2459,0.171,0.2329
en_024,math,1.0,0.1964,0.1079,0.2143
en_025,math,1.0,0.1395,0.035,0.0741
en_026,math,1.0,0.3462,0.1878,0.3913
en_027,math,1.0,0.1489,0.0881,0.1897
en_028,math,1.0,0.4516,0.5117,0.413
en_029,math,1.0,0.1569,0.0686,0.1875
en_030,domain,1.0,0.1528,0.0729,0.191
en_031,domain,1.0,0.2,0.1597,0.2333
en_032,domain,1.0,0.2,0.0997,0.2059
en_033,domain,1.0,0.1429,0.0695,0.1216
en_034,domain,1.0,0.1228,0.1186,0.125
en_035,domain,1.0,0.2182,0.1639,0.1304
en_036,domain,1.0,0.0882,0.0272,0.1
en_037,domain,1.0,0.2586,0.1353,0.1892
en_038,domain,1.0,0.2143,0.1637,0.3148
en_039,domain,1.0,0.1765,0.089,0.1951
en_040,basic,1.0,0.1351,0.0382,0.1111
en_041,basic,1.0,0.1667,0.0469,0.1538
en_042,basic,1.0,0.1429,0.037,0.0606
en_043,number,1.0,0.3077,0.2013,0.1746
en_044,number,1.0,0.1698,0.1074,0.2063
en_045,list,1.0,0.1282,0.0589,0.1868
