group,rows,avg_edit,avg_chrf,fails
overall,18,1.000000,1.000000,0
sec-1,6,1.000000,1.000000,0
sec-2,6,1.000000,1.000000,0
sec-4,3,1.000000,1.000000,0
sec-7,3,1.000000,1.000000,0
