group,rows,avg_edit,avg_chrf,fails
overall,15,0.999489,0.998603,0
sec-3,2,1.000000,1.000000,0
sec-8,6,1.000000,1.000000,0
sec-9,4,1.000000,1.000000,0
sec-11,3,0.997443,0.993013,0
